ID,Marca,Modelo,Talla,Precio,Color
1,Nike,Air Max 270,42,120,Blanco/Negro
2,Adidas,Ultraboost 21,41,150,Gris/Azul
3,Reebok,Classic Leather,39,80,Blanco
4,Puma,RS-XÂ³ Puzzle,43,110,Negro/Rojo
5,New Balance,990v5,40,170,Gris/Blanco
6,Under Armour,HOVR Phantom 2,38,130,Azul/Naranja
7,ASICS,GEL-Kayano 28,45,160,Azul/Verde
8,Saucony,Ride 14,41,120,Negro/Blanco
9,Brooks,Ghost 14,39,140,Rojo/Negro
10,Hoka One One,Bondi 7,42,150,Verde/Blanco
11,Adidas,Stan Smith,44,90,Blanco/Verde
12,Nike,React Infinity Run Flyknit,40,160,Azul/Negro
13,New Balance,Fresh Foam 1080v11,43,140,Amarillo/Gris
14,Under Armour,Charged Assert 9,41,80,Negro
15,Puma,Future Rider,39,100,Azul/Rojo
16,Reebok,Nano X1,42,120,Negro/Blanco
17,ASICS,GEL-Nimbus 23,40,160,Gris/Azul
18,Brooks,Adrenaline GTS 21,38,130,Rosa/Negro
19,Saucony,Kinvara 12,45,110,Verde/Amarillo
20,Hoka One One,Clifton 8,41,140,Azul/Naranja
